<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
USDRUB;0;20100122;014633;29.75450;0
USDRUB;0;20100122;014702;29.75550;0
USDRUB;0;20100122;014711;29.75580;0
USDRUB;0;20100122;014733;29.75650;0
USDRUB;0;20100122;014803;29.75850;0
USDRUB;0;20100122;014817;29.75950;0
USDRUB;0;20100122;014848;29.76150;0
USDRUB;0;20100122;014917;29.75950;0
USDRUB;0;20100122;014934;29.75450;0
USDRUB;0;20100122;015001;29.76500;0
USDRUB;0;20100122;015002;29.76150;0
USDRUB;0;20100122;015017;29.75850;0
USDRUB;0;20100122;015047;29.76150;0
USDRUB;0;20100122;015102;29.75950;0
USDRUB;0;20100122;015133;29.76250;0
USDRUB;0;20100122;015233;29.75650;0
USDRUB;0;20100122;015317;29.75550;0
USDRUB;0;20100122;015333;29.75750;0
USDRUB;0;20100122;015417;29.75650;0
USDRUB;0;20100122;015503;29.75550;0
USDRUB;0;20100122;015534;29.75350;0
USDRUB;0;20100122;015548;29.75650;0
USDRUB;0;20100122;015617;29.75350;0
USDRUB;0;20100122;015650;29.75450;0
USDRUB;0;20100122;015750;29.75650;0
USDRUB;0;20100122;015805;29.75550;0
USDRUB;0;20100122;015818;29.75450;0
USDRUB;0;20100122;015830;29.75550;0
USDRUB;0;20100122;015856;29.75450;0
USDRUB;0;20100122;015903;29.75750;0
USDRUB;0;20100122;015915;29.75650;0
USDRUB;0;20100122;015950;29.75950;0
USDRUB;0;20100122;020002;29.76800;0
USDRUB;0;20100122;020033;29.75850;0
USDRUB;0;20100122;020119;29.75650;0
USDRUB;0;20100122;020135;29.75850;0
USDRUB;0;20100122;020206;29.75650;0
USDRUB;0;20100122;020219;29.75450;0
USDRUB;0;20100122;020250;29.75650;0
USDRUB;0;20100122;020319;29.75750;0
USDRUB;0;20100122;020330;29.75650;0
USDRUB;0;20100122;020351;29.75550;0
USDRUB;0;20100122;020419;29.75650;0
USDRUB;0;20100122;020504;29.75450;0
USDRUB;0;20100122;020519;29.75750;0
USDRUB;0;20100122;020605;29.75650;0
USDRUB;0;20100122;020635;29.75950;0
USDRUB;0;20100122;020647;29.76150;0
USDRUB;0;20100122;020719;29.76250;0
USDRUB;0;20100122;020750;29.76150;0
USDRUB;0;20100122;020803;29.76450;0
USDRUB;0;20100122;020906;29.76750;0
USDRUB;0;20100122;020937;29.77650;0
USDRUB;0;20100122;021001;29.77900;0
USDRUB;0;20100122;021008;29.77850;0
USDRUB;0;20100122;021017;29.77450;0
USDRUB;0;20100122;021135;29.77250;0
USDRUB;0;20100122;021222;29.76650;0
USDRUB;0;20100122;021251;29.76550;0
USDRUB;0;20100122;021315;29.76850;0
USDRUB;0;20100122;021321;29.76450;0
USDRUB;0;20100122;021353;29.76650;0
USDRUB;0;20100122;021419;29.76550;0
USDRUB;0;20100122;021430;29.76650;0
USDRUB;0;20100122;021507;29.76850;0
USDRUB;0;20100122;021519;29.77150;0
USDRUB;0;20100122;021551;29.76850;0
USDRUB;0;20100122;021606;29.76650;0
USDRUB;0;20100122;021636;29.76450;0
USDRUB;0;20100122;021705;29.76550;0
USDRUB;0;20100122;021739;29.76650;0
USDRUB;0;20100122;021807;29.76350;0
USDRUB;0;20100122;021819;29.76550;0
USDRUB;0;20100122;021853;29.76450;0
USDRUB;0;20100122;021921;29.76550;0
USDRUB;0;20100122;021938;29.76450;0
USDRUB;0;20100122;022001;29.77500;0
USDRUB;0;20100122;022008;29.76550;0
USDRUB;0;20100122;022037;29.76450;0
USDRUB;0;20100122;022049;29.76250;0
USDRUB;0;20100122;022124;29.76350;0
USDRUB;0;20100122;022206;29.75850;0
USDRUB;0;20100122;022221;29.75950;0
USDRUB;0;20100122;022256;29.75450;0
USDRUB;0;20100122;022307;29.75850;0
USDRUB;0;20100122;022352;29.75750;0
USDRUB;0;20100122;022437;29.75950;0
USDRUB;0;20100122;022452;29.75850;0
USDRUB;0;20100122;022608;29.75550;0
USDRUB;0;20100122;022621;29.75450;0
USDRUB;0;20100122;022637;29.75550;0
USDRUB;0;20100122;022652;29.75650;0
USDRUB;0;20100122;022721;29.75550;0
USDRUB;0;20100122;022738;29.75450;0
USDRUB;0;20100122;022808;29.75650;0
USDRUB;0;20100122;022838;29.75950;0
USDRUB;0;20100122;022853;29.75850;0
USDRUB;0;20100122;022921;29.75750;0
USDRUB;0;20100122;023002;29.76600;0
USDRUB;0;20100122;023007;29.75850;0
USDRUB;0;20100122;023052;29.76150;0
USDRUB;0;20100122;023108;29.75950;0
USDRUB;0;20100122;023137;29.76150;0
USDRUB;0;20100122;023221;29.75950;0
USDRUB;0;20100122;023237;29.76150;0
USDRUB;0;20100122;023308;29.75950;0
USDRUB;0;20100122;023353;29.75850;0
USDRUB;0;20100122;023421;29.75950;0
USDRUB;0;20100122;023437;29.76150;0
USDRUB;0;20100122;023452;29.75950;0
USDRUB;0;20100122;023542;29.75850;0
USDRUB;0;20100122;023600;29.75750;0
USDRUB;0;20100122;023626;29.75850;0
USDRUB;0;20100122;023642;29.75750;0
USDRUB;0;20100122;023726;29.75850;0
USDRUB;0;20100122;023815;29.75750;0
USDRUB;0;20100122;023826;29.75850;0
USDRUB;0;20100122;023842;29.75750;0
USDRUB;0;20100122;023913;29.75650;0
USDRUB;0;20100122;023925;29.75850;0
USDRUB;0;20100122;023958;29.75950;0
USDRUB;0;20100122;024001;29.77100;0
USDRUB;0;20100122;024010;29.75850;0
USDRUB;0;20100122;024041;29.75750;0
USDRUB;0;20100122;024115;29.75950;0
USDRUB;0;20100122;024125;29.76150;0
USDRUB;0;20100122;024215;29.76250;0
USDRUB;0;20100122;024225;29.75950;0
USDRUB;0;20100122;024243;29.75850;0
USDRUB;0;20100122;024257;29.75650;0
USDRUB;0;20100122;024326;29.75750;0
USDRUB;0;20100122;024357;29.75850;0
USDRUB;0;20100122;024429;29.75750;0
USDRUB;0;20100122;024447;29.75850;0
USDRUB;0;20100122;024459;29.75750;0
USDRUB;0;20100122;024552;29.75650;0
USDRUB;0;20100122;024615;29.75750;0
USDRUB;0;20100122;024625;29.76150;0
USDRUB;0;20100122;024659;29.75750;0
USDRUB;0;20100122;024717;29.75780;0
USDRUB;0;20100122;024728;29.75850;0
USDRUB;0;20100122;024745;29.75950;0
USDRUB;0;20100122;024814;29.75850;0
USDRUB;0;20100122;024844;29.75950;0
USDRUB;0;20100122;024944;29.75550;0
USDRUB;0;20100122;024955;29.75250;0
USDRUB;0;20100122;025001;29.76300;0
USDRUB;0;20100122;025015;29.75050;0
USDRUB;0;20100122;025056;29.74850;0
USDRUB;0;20100122;025128;29.75050;0
USDRUB;0;20100122;025144;29.75250;0
USDRUB;0;20100122;025216;29.75050;0
USDRUB;0;20100122;025229;29.75250;0
USDRUB;0;20100122;025303;29.75050;0
USDRUB;0;20100122;025344;29.74650;0
USDRUB;0;20100122;025416;29.74850;0
USDRUB;0;20100122;025445;29.74750;0
USDRUB;0;20100122;025648;29.74250;0
USDRUB;0;20100122;025659;29.74150;0
USDRUB;0;20100122;025717;29.73850;0
USDRUB;0;20100122;025759;29.74050;0
USDRUB;0;20100122;025831;29.74450;0
USDRUB;0;20100122;025900;29.74750;0
USDRUB;0;20100122;025959;29.74250;0
USDRUB;0;20100122;030115;29.74850;0
USDRUB;0;20100122;030201;29.75050;0
USDRUB;0;20100122;030228;29.74850;0
USDRUB;0;20100122;030316;29.74550;0
USDRUB;0;20100122;030326;29.74750;0
USDRUB;0;20100122;030401;29.74650;0
USDRUB;0;20100122;030409;29.74850;0
USDRUB;0;20100122;030428;29.74650;0
USDRUB;0;20100122;030516;29.74850;0
USDRUB;0;20100122;030528;29.74950;0
USDRUB;0;20100122;030559;29.75050;0
USDRUB;0;20100122;030628;29.74950;0
USDRUB;0;20100122;030700;29.74450;0
USDRUB;0;20100122;030711;29.75050;0
USDRUB;0;20100122;030742;29.75550;0
USDRUB;0;20100122;030828;29.75450;0
USDRUB;0;20100122;030841;29.75250;0
USDRUB;0;20100122;030932;29.74950;0
USDRUB;0;20100122;030947;29.75350;0
USDRUB;0;20100122;030957;29.75450;0
USDRUB;0;20100122;031001;29.76400;0
USDRUB;0;20100122;031042;29.75050;0
USDRUB;0;20100122;031144;29.75350;0
USDRUB;0;20100122;031157;29.75450;0
USDRUB;0;20100122;031211;29.75350;0
USDRUB;0;20100122;031241;29.75550;0
USDRUB;0;20100122;031314;29.75450;0
USDRUB;0;20100122;031430;29.75050;0
USDRUB;0;20100122;031444;29.75250;0
USDRUB;0;20100122;031455;29.75050;0
USDRUB;0;20100122;031529;29.75250;0
USDRUB;0;20100122;031559;29.75050;0
USDRUB;0;20100122;031614;29.75250;0
USDRUB;0;20100122;031628;29.75050;0
USDRUB;0;20100122;031715;29.75250;0
USDRUB;0;20100122;031728;29.75350;0
USDRUB;0;20100122;031759;29.75250;0
USDRUB;0;20100122;031830;29.75050;0
USDRUB;0;20100122;031847;29.74950;0
USDRUB;0;20100122;031944;29.74450;0
USDRUB;0;20100122;032002;29.75600;0
USDRUB;0;20100122;032014;29.74550;0
USDRUB;0;20100122;032046;29.74650;0
USDRUB;0;20100122;032059;29.74750;0
USDRUB;0;20100122;032128;29.74250;0
USDRUB;0;20100122;032215;29.73650;0
USDRUB;0;20100122;032328;29.73850;0
USDRUB;0;20100122;032407;29.73650;0
USDRUB;0;20100122;032449;29.73550;0
USDRUB;0;20100122;032550;29.73750;0
USDRUB;0;20100122;032618;29.73950;0
USDRUB;0;20100122;032653;29.74250;0
USDRUB;0;20100122;032717;29.73450;0
USDRUB;0;20100122;032734;29.74450;0
USDRUB;0;20100122;032805;29.74550;0
USDRUB;0;20100122;032819;29.74850;0
USDRUB;0;20100122;032850;29.74750;0
USDRUB;0;20100122;032916;29.74650;0
USDRUB;0;20100122;032935;29.74550;0
USDRUB;0;20100122;032951;29.74750;0
USDRUB;0;20100122;033002;29.76200;0
USDRUB;0;20100122;033037;29.74950;0
USDRUB;0;20100122;033108;29.74550;0
USDRUB;0;20100122;033206;29.74650;0
USDRUB;0;20100122;033219;29.73950;0
USDRUB;0;20100122;033308;29.74150;0
USDRUB;0;20100122;033351;29.74550;0
USDRUB;0;20100122;033419;29.74650;0
USDRUB;0;20100122;033451;29.74450;0
USDRUB;0;20100122;033508;29.74250;0
USDRUB;0;20100122;033519;29.74450;0
USDRUB;0;20100122;033605;29.74250;0
USDRUB;0;20100122;033635;29.74050;0
USDRUB;0;20100122;033706;29.73850;0
USDRUB;0;20100122;033735;29.73950;0
USDRUB;0;20100122;033751;29.74050;0
USDRUB;0;20100122;033838;29.74150;0
USDRUB;0;20100122;033852;29.73950;0
USDRUB;0;20100122;033906;29.74150;0
USDRUB;0;20100122;033951;29.74550;0
USDRUB;0;20100122;034001;29.75800;0
USDRUB;0;20100122;034019;29.74850;0
USDRUB;0;20100122;034051;29.74650;0
USDRUB;0;20100122;034119;29.74850;0
USDRUB;0;20100122;034130;29.74450;0
USDRUB;0;20100122;034147;29.74950;0
USDRUB;0;20100122;034201;29.74850;0
USDRUB;0;20100122;034252;29.74650;0
USDRUB;0;20100122;034349;29.74250;0
USDRUB;0;20100122;034406;29.74450;0
USDRUB;0;20100122;034419;29.74250;0
USDRUB;0;20100122;034438;29.74450;0
USDRUB;0;20100122;034506;29.73950;0
USDRUB;0;20100122;034538;29.73850;0
USDRUB;0;20100122;034606;29.73550;0
USDRUB;0;20100122;034636;29.73650;0
USDRUB;0;20100122;034706;29.73550;0
USDRUB;0;20100122;034712;29.73580;0
USDRUB;0;20100122;034718;29.73650;0
USDRUB;0;20100122;034751;29.73750;0
USDRUB;0;20100122;034819;29.73550;0
USDRUB;0;20100122;034851;29.73650;0
USDRUB;0;20100122;034906;29.73750;0
USDRUB;0;20100122;034935;29.74250;0
USDRUB;0;20100122;035001;29.74700;0
USDRUB;0;20100122;035007;29.73950;0
USDRUB;0;20100122;035036;29.73550;0
USDRUB;0;20100122;035119;29.73650;0
USDRUB;0;20100122;035138;29.73550;0
USDRUB;0;20100122;035205;29.73350;0
USDRUB;0;20100122;035219;29.73150;0
USDRUB;0;20100122;035309;29.72950;0
USDRUB;0;20100122;035320;29.72850;0
USDRUB;0;20100122;035335;29.73050;0
USDRUB;0;20100122;035405;29.73350;0
USDRUB;0;20100122;035505;29.73750;0
USDRUB;0;20100122;035519;29.73550;0
USDRUB;0;20100122;035608;29.74050;0
USDRUB;0;20100122;035615;29.73450;0
USDRUB;0;20100122;035630;29.73750;0
USDRUB;0;20100122;035705;29.74150;0
USDRUB;0;20100122;035735;29.73550;0
USDRUB;0;20100122;035851;29.73650;0
USDRUB;0;20100122;035919;29.73350;0
USDRUB;0;20100122;035951;29.73550;0
USDRUB;0;20100122;040002;29.74500;0
USDRUB;0;20100122;040005;29.73350;0
USDRUB;0;20100122;040050;29.73050;0
USDRUB;0;20100122;040119;29.73350;0
USDRUB;0;20100122;040205;29.73550;0
USDRUB;0;20100122;040250;29.73350;0
USDRUB;0;20100122;040301;29.73250;0
USDRUB;0;20100122;040354;29.73350;0
USDRUB;0;20100122;040411;29.73550;0
USDRUB;0;20100122;040423;29.73350;0
USDRUB;0;20100122;040439;29.73550;0
USDRUB;0;20100122;040509;29.73350;0
USDRUB;0;20100122;040523;29.73550;0
USDRUB;0;20100122;040554;29.73750;0
USDRUB;0;20100122;040617;29.73450;0
USDRUB;0;20100122;040623;29.73850;0
USDRUB;0;20100122;040654;29.73750;0
USDRUB;0;20100122;040709;29.73350;0
USDRUB;0;20100122;040740;29.73850;0
USDRUB;0;20100122;040811;29.74250;0
USDRUB;0;20100122;040839;29.74450;0
USDRUB;0;20100122;040923;29.74550;0
USDRUB;0;20100122;040939;29.74450;0
USDRUB;0;20100122;040955;29.74750;0
USDRUB;0;20100122;041002;29.76500;0
USDRUB;0;20100122;041016;29.74450;0
USDRUB;0;20100122;041022;29.75250;0
USDRUB;0;20100122;041056;29.75050;0
USDRUB;0;20100122;041113;29.74750;0
USDRUB;0;20100122;041205;29.74650;0
USDRUB;0;20100122;041222;29.74550;0
USDRUB;0;20100122;041253;29.74450;0
USDRUB;0;20100122;041326;29.74850;0
USDRUB;0;20100122;041354;29.74950;0
USDRUB;0;20100122;041423;29.74850;0
USDRUB;0;20100122;041436;29.74750;0
USDRUB;0;20100122;041540;29.74850;0
USDRUB;0;20100122;041555;29.74750;0
USDRUB;0;20100122;041623;29.74950;0
USDRUB;0;20100122;041655;29.75050;0
USDRUB;0;20100122;041710;29.74850;0
USDRUB;0;20100122;041741;29.74650;0
USDRUB;0;20100122;041816;29.74750;0
USDRUB;0;20100122;041823;29.74650;0
USDRUB;0;20100122;041855;29.74550;0
USDRUB;0;20100122;041923;29.73950;0
USDRUB;0;20100122;041937;29.73450;0
USDRUB;0;20100122;041950;29.74150;0
USDRUB;0;20100122;042001;29.75200;0
USDRUB;0;20100122;042009;29.74450;0
USDRUB;0;20100122;042039;29.74150;0
USDRUB;0;20100122;042124;29.74050;0
USDRUB;0;20100122;042140;29.74250;0
USDRUB;0;20100122;042152;29.74150;0
USDRUB;0;20100122;042209;29.74450;0
USDRUB;0;20100122;042256;29.73950;0
USDRUB;0;20100122;042323;29.73850;0
USDRUB;0;20100122;042354;29.73350;0
USDRUB;0;20100122;042409;29.73250;0
USDRUB;0;20100122;042439;29.73350;0
USDRUB;0;20100122;042510;29.72750;0
USDRUB;0;20100122;042516;29.72450;0
USDRUB;0;20100122;042539;29.73150;0
USDRUB;0;20100122;042557;29.73250;0
USDRUB;0;20100122;042625;29.73150;0
USDRUB;0;20100122;042657;29.73050;0
USDRUB;0;20100122;042711;29.72950;0
USDRUB;0;20100122;042739;29.72750;0
USDRUB;0;20100122;042810;29.72850;0
USDRUB;0;20100122;042912;29.72750;0
USDRUB;0;20100122;042927;29.72650;0
USDRUB;0;20100122;042955;29.72750;0
USDRUB;0;20100122;043002;29.74100;0
USDRUB;0;20100122;043012;29.72850;0
USDRUB;0;20100122;043036;29.72450;0
USDRUB;0;20100122;043054;29.72950;0
USDRUB;0;20100122;043124;29.73150;0
USDRUB;0;20100122;043141;29.73250;0
USDRUB;0;20100122;043210;29.73150;0
USDRUB;0;20100122;043255;29.73250;0
USDRUB;0;20100122;043310;29.73050;0
USDRUB;0;20100122;043341;29.72950;0
USDRUB;0;20100122;043357;29.72850;0
USDRUB;0;20100122;043425;29.72250;0
USDRUB;0;20100122;043456;29.72450;0
USDRUB;0;20100122;043510;29.72350;0
USDRUB;0;20100122;043540;29.72150;0
USDRUB;0;20100122;043551;29.72250;0
USDRUB;0;20100122;043626;29.72050;0
USDRUB;0;20100122;043641;29.72250;0
USDRUB;0;20100122;043658;29.71450;0
USDRUB;0;20100122;043724;29.72450;0
USDRUB;0;20100122;043756;29.72350;0
USDRUB;0;20100122;043827;29.72250;0
USDRUB;0;20100122;043840;29.72150;0
USDRUB;0;20100122;043912;29.71700;0
USDRUB;0;20100122;043916;29.71750;0
USDRUB;0;20100122;043942;29.71550;0
USDRUB;0;20100122;044001;29.72600;0
USDRUB;0;20100122;044010;29.71850;0
