<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDJPY;D;20011121;000000;123.22000
USDJPY;D;20011122;000000;123.90000
USDJPY;D;20011123;000000;124.26000
USDJPY;D;20011124;000000;124.23000
USDJPY;D;20011126;000000;123.98000
USDJPY;D;20011127;000000;123.96000
USDJPY;D;20011128;000000;123.11000
USDJPY;D;20011129;000000;123.88000
USDJPY;D;20011130;000000;123.44000
USDJPY;D;20011201;000000;123.50000
USDJPY;D;20011203;000000;124.13000
USDJPY;D;20011204;000000;124.18000
USDJPY;D;20011205;000000;124.20000
USDJPY;D;20011206;000000;124.75000
USDJPY;D;20011207;000000;125.59000
USDJPY;D;20011208;000000;125.66000
USDJPY;D;20011210;000000;126.08000
USDJPY;D;20011211;000000;126.14000
USDJPY;D;20011212;000000;125.85000
USDJPY;D;20011213;000000;126.10000
USDJPY;D;20011214;000000;127.32000
USDJPY;D;20011217;000000;127.53000
USDJPY;D;20011218;000000;127.88000
USDJPY;D;20011219;000000;127.99000
USDJPY;D;20011220;000000;128.59000
USDJPY;D;20011221;000000;129.66000
USDJPY;D;20011222;000000;129.60000
USDJPY;D;20011224;000000;129.91000
USDJPY;D;20011225;000000;130.78000
USDJPY;D;20011226;000000;130.68000
USDJPY;D;20011227;000000;131.60000
USDJPY;D;20011228;000000;131.05000
USDJPY;D;20011229;000000;131.07000
USDJPY;D;20011231;000000;131.65000
USDJPY;D;20020101;000000;131.54000
USDJPY;D;20020102;000000;132.08000
USDJPY;D;20020103;000000;131.64000
USDJPY;D;20020104;000000;130.99000
USDJPY;D;20020105;000000;130.94000
USDJPY;D;20020107;000000;131.00000
USDJPY;D;20020108;000000;132.55000
USDJPY;D;20020110;000000;132.59000
USDJPY;D;20020111;000000;131.88000
USDJPY;D;20020114;000000;132.03000
USDJPY;D;20020115;000000;131.32000
USDJPY;D;20020116;000000;131.77000
USDJPY;D;20020117;000000;132.29000
USDJPY;D;20020118;000000;132.75000
USDJPY;D;20020121;000000;132.55000
USDJPY;D;20020122;000000;134.27000
USDJPY;D;20020123;000000;134.56000
USDJPY;D;20020124;000000;134.39000
USDJPY;D;20020125;000000;134.39000
USDJPY;D;20020126;000000;134.44000
USDJPY;D;20020128;000000;133.36000
USDJPY;D;20020129;000000;133.47000
USDJPY;D;20020130;000000;132.77000
USDJPY;D;20020131;000000;133.80000
USDJPY;D;20020208;000000;134.66000
USDJPY;D;20020209;000000;134.77000
USDJPY;D;20020210;000000;134.77000
USDJPY;D;20020211;000000;134.68000
USDJPY;D;20020212;000000;132.84000
USDJPY;D;20020213;000000;133.43000
USDJPY;D;20020214;000000;132.12000
USDJPY;D;20020215;000000;132.67000
USDJPY;D;20020218;000000;132.75000
USDJPY;D;20020219;000000;133.41000
USDJPY;D;20020220;000000;133.82000
USDJPY;D;20020221;000000;134.16000
USDJPY;D;20020222;000000;134.01000
USDJPY;D;20020223;000000;134.10000
USDJPY;D;20020224;000000;134.10000
USDJPY;D;20020225;000000;133.83000
USDJPY;D;20020226;000000;134.29000
USDJPY;D;20020227;000000;134.40000
USDJPY;D;20020228;000000;133.90000
USDJPY;D;20020301;000000;133.15000
USDJPY;D;20020304;000000;132.02000
USDJPY;D;20020305;000000;132.33000
USDJPY;D;20020306;000000;130.89000
USDJPY;D;20020307;000000;128.02000
USDJPY;D;20020311;000000;128.16000
USDJPY;D;20020312;000000;128.88000
USDJPY;D;20020313;000000;129.55000
USDJPY;D;20020314;000000;128.70000
USDJPY;D;20020315;000000;129.13000
USDJPY;D;20020316;000000;129.14000
USDJPY;D;20020318;000000;131.42000
USDJPY;D;20020319;000000;132.10000
USDJPY;D;20020320;000000;131.43000
USDJPY;D;20020321;000000;131.94000
USDJPY;D;20020322;000000;132.77000
USDJPY;D;20020325;000000;133.38000
USDJPY;D;20020326;000000;132.76000
USDJPY;D;20020327;000000;132.72000
USDJPY;D;20020328;000000;132.68000
USDJPY;D;20020329;000000;132.77000
USDJPY;D;20020330;000000;132.77000
USDJPY;D;20020331;000000;132.77000
USDJPY;D;20020401;000000;133.20000
USDJPY;D;20020403;000000;132.68000
USDJPY;D;20020404;000000;132.25000
USDJPY;D;20020405;000000;131.57000
USDJPY;D;20020406;000000;131.66000
USDJPY;D;20020407;000000;131.66000
USDJPY;D;20020408;000000;131.23000
USDJPY;D;20020409;000000;131.05000
USDJPY;D;20020410;000000;130.67000
USDJPY;D;20020411;000000;131.46000
USDJPY;D;20020412;000000;132.06000
USDJPY;D;20020415;000000;131.60000
USDJPY;D;20020416;000000;130.96000
USDJPY;D;20020417;000000;130.77000
USDJPY;D;20020418;000000;129.95000
USDJPY;D;20020419;000000;130.46000
USDJPY;D;20020422;000000;129.97000
USDJPY;D;20020423;000000;130.16000
USDJPY;D;20020424;000000;129.75000
USDJPY;D;20020425;000000;128.60000
USDJPY;D;20020426;000000;128.13000
USDJPY;D;20020427;000000;127.93000
USDJPY;D;20020429;000000;128.15000
USDJPY;D;20020430;000000;128.33000
USDJPY;D;20020506;000000;127.21000
USDJPY;D;20020507;000000;127.76000
USDJPY;D;20020508;000000;128.54000
USDJPY;D;20020513;000000;127.57000
USDJPY;D;20020514;000000;128.60000
USDJPY;D;20020515;000000;127.67000
USDJPY;D;20020516;000000;128.16000
USDJPY;D;20020517;000000;126.01000
USDJPY;D;20020518;000000;126.00000
USDJPY;D;20020519;000000;126.00000
USDJPY;D;20020520;000000;125.53000
USDJPY;D;20020521;000000;124.11000
USDJPY;D;20020522;000000;124.17000
USDJPY;D;20020523;000000;124.91000
USDJPY;D;20020524;000000;124.67000
USDJPY;D;20020525;000000;124.74000
USDJPY;D;20020527;000000;124.82000
USDJPY;D;20020528;000000;124.67000
USDJPY;D;20020529;000000;124.41000
USDJPY;D;20020530;000000;123.11000
USDJPY;D;20020531;000000;124.40000
USDJPY;D;20020603;000000;123.80000
USDJPY;D;20020604;000000;123.98000
USDJPY;D;20020605;000000;124.57000
USDJPY;D;20020606;000000;124.44000
USDJPY;D;20020607;000000;124.40000
USDJPY;D;20020608;000000;124.44000
USDJPY;D;20020609;000000;124.44000
USDJPY;D;20020610;000000;124.64000
USDJPY;D;20020611;000000;125.51000
USDJPY;D;20020613;000000;124.87000
USDJPY;D;20020614;000000;124.21000
USDJPY;D;20020615;000000;124.21000
USDJPY;D;20020617;000000;124.38000
USDJPY;D;20020618;000000;124.57000
USDJPY;D;20020619;000000;123.78000
USDJPY;D;20020620;000000;123.44000
USDJPY;D;20020621;000000;121.33000
USDJPY;D;20020622;000000;121.45000
USDJPY;D;20020624;000000;121.70000
USDJPY;D;20020625;000000;121.35000
USDJPY;D;20020626;000000;119.89000
USDJPY;D;20020627;000000;119.32000
USDJPY;D;20020628;000000;119.66000
USDJPY;D;20020629;000000;119.52000
USDJPY;D;20020630;000000;119.52000
USDJPY;D;20020701;000000;119.89000
USDJPY;D;20020702;000000;119.82000
USDJPY;D;20020703;000000;119.74000
USDJPY;D;20020704;000000;119.96000
USDJPY;D;20020705;000000;120.40000
USDJPY;D;20020706;000000;120.42000
USDJPY;D;20020707;000000;120.42000
USDJPY;D;20020708;000000;118.52000
USDJPY;D;20020709;000000;117.99000
USDJPY;D;20020710;000000;117.63000
USDJPY;D;20020711;000000;116.92000
USDJPY;D;20020712;000000;116.88000
USDJPY;D;20020713;000000;116.90000
USDJPY;D;20020715;000000;116.37000
USDJPY;D;20020716;000000;115.73000
USDJPY;D;20020717;000000;116.22000
USDJPY;D;20020718;000000;116.71000
USDJPY;D;20020719;000000;115.81000
USDJPY;D;20020722;000000;116.30000
USDJPY;D;20020723;000000;117.62000
USDJPY;D;20020724;000000;116.55000
USDJPY;D;20020725;000000;116.44000
USDJPY;D;20020726;000000;118.85000
USDJPY;D;20020727;000000;118.88000
USDJPY;D;20020728;000000;118.88000
USDJPY;D;20020729;000000;119.73000
USDJPY;D;20020730;000000;119.93000
USDJPY;D;20020731;000000;119.89000
USDJPY;D;20020801;000000;119.41000
USDJPY;D;20020802;000000;119.05000
USDJPY;D;20020803;000000;118.97000
USDJPY;D;20020805;000000;118.94000
USDJPY;D;20020806;000000;120.85000
USDJPY;D;20020807;000000;120.45000
USDJPY;D;20020808;000000;120.77000
USDJPY;D;20020809;000000;120.40000
USDJPY;D;20020812;000000;119.08000
USDJPY;D;20020813;000000;119.02000
USDJPY;D;20020814;000000;117.35000
USDJPY;D;20020815;000000;117.08000
USDJPY;D;20020816;000000;117.55000
USDJPY;D;20020819;000000;118.53000
USDJPY;D;20020820;000000;118.82000
USDJPY;D;20020821;000000;118.55000
USDJPY;D;20020822;000000;119.89000
USDJPY;D;20020823;000000;119.58000
USDJPY;D;20020826;000000;119.76000
USDJPY;D;20020827;000000;118.14000
USDJPY;D;20020828;000000;118.69000
USDJPY;D;20020829;000000;118.19000
USDJPY;D;20020830;000000;118.40000
USDJPY;D;20020831;000000;118.35000
USDJPY;D;20020902;000000;118.11000
USDJPY;D;20020903;000000;117.05000
USDJPY;D;20020904;000000;118.04000
USDJPY;D;20020905;000000;118.29000
USDJPY;D;20020906;000000;118.48000
USDJPY;D;20020907;000000;118.55000
USDJPY;D;20020908;000000;118.55000
USDJPY;D;20020909;000000;118.89000
