<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DJIA;60;20110201;000000;11890.08000;11891.93000;11889.28000;11891.93000;0
DJIA;60;20110201;170000;11892.50000;11966.33000;11892.50000;11965.23000;0
DJIA;60;20110201;180000;11966.75000;11990.47000;11946.95000;11986.99000;0
DJIA;60;20110201;190000;11986.95000;12007.73000;11978.44000;11996.60000;0
DJIA;60;20110201;200000;11996.98000;12038.80000;11996.22000;12037.89000;0
DJIA;60;20110201;210000;12038.04000;12043.72000;12027.18000;12027.18000;0
DJIA;60;20110201;220000;12027.06000;12037.40000;12020.86000;12035.05000;0
DJIA;60;20110201;230000;12035.31000;12050.75000;12027.22000;12037.13000;0
DJIA;60;20110202;000000;12036.07000;12040.16000;12035.92000;12040.16000;0
DJIA;60;20110202;170000;12030.70000;12046.86000;12018.51000;12041.07000;0
DJIA;60;20110202;180000;12042.13000;12054.46000;12021.01000;12042.96000;0
DJIA;60;20110202;190000;12042.50000;12048.63000;12025.14000;12048.56000;0
DJIA;60;20110202;200000;12048.63000;12048.79000;12029.79000;12044.74000;0
DJIA;60;20110202;210000;12044.66000;12051.09000;12036.87000;12042.73000;0
DJIA;60;20110202;220000;12042.66000;12056.47000;12036.56000;12053.25000;0
DJIA;60;20110202;230000;12053.21000;12057.91000;12032.78000;12041.60000;0
DJIA;60;20110203;000000;12040.61000;12042.58000;12040.46000;12041.97000;0
DJIA;60;20110203;170000;12041.67000;12041.67000;12015.79000;12031.68000;0
DJIA;60;20110203;180000;12032.06000;12039.55000;11981.05000;12025.66000;0
DJIA;60;20110203;190000;12025.36000;12046.44000;12004.89000;12041.63000;0
DJIA;60;20110203;200000;12041.56000;12045.23000;12022.64000;12039.25000;0
DJIA;60;20110203;210000;12039.06000;12043.68000;12025.82000;12033.99000;0
DJIA;60;20110203;220000;12033.84000;12058.70000;12030.70000;12053.14000;0
DJIA;60;20110203;230000;12053.44000;12080.54000;12053.44000;12061.20000;0
DJIA;60;20110204;000000;12062.26000;12062.71000;12062.18000;12062.26000;0
DJIA;60;20110204;170000;12061.50000;12077.70000;12038.72000;12059.61000;0
DJIA;60;20110204;180000;12058.93000;12079.70000;12029.98000;12041.90000;0
DJIA;60;20110204;190000;12041.26000;12058.70000;12025.78000;12048.52000;0
DJIA;60;20110204;200000;12048.45000;12063.66000;12041.94000;12063.43000;0
DJIA;60;20110204;210000;12063.58000;12074.82000;12060.18000;12070.81000;0
DJIA;60;20110204;220000;12070.96000;12077.21000;12060.10000;12077.21000;0
DJIA;60;20110204;230000;12077.28000;12092.42000;12068.73000;12090.18000;0
DJIA;60;20110205;000000;12089.88000;12092.15000;12089.88000;12092.15000;0
DJIA;60;20110207;170000;12101.92000;12149.67000;12100.55000;12141.23000;0
DJIA;60;20110207;180000;12142.29000;12180.48000;12140.33000;12177.75000;0
